Unnamed: 0,Inhibitor,Metal,Alloy,Temperature_K,pH,Salt_Concentrat_M,Efficiency,Cost/100 gm,Cost,Toxicity,Source,cluster_label
15,"2,5-Dimercapto-1,3,4-thiaziazole",Al,AA2024,298,10,0.1,90,39240,https://www.sigmaaldrich.com/IN/en/product/mm/815101?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fiuENjCChWJZHO9M1b4SNRMJe9WR3o_4dBlN_C44-Mm_VsGNAtnxxMaAgJ2EALw_wcB,"eye irritation, chemical conjunctivitis, skin irritation, respiratory tract irritation, and gastrointestinal irritation, including nausea, vomiting, and diarrhea",https://ntp.niehs.nih.gov/sites/default/files/ntp/htdocs/chem_background/exsumpdf/dmct_508.pdf,0
16,"3-Amino-1H-1,2,4-triazole-5-carboxylic acid",Al,AA2024,298,4,0.1,60,44444.4,https://www.sigmaaldrich.com/IN/en/product/aldrich/282073?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fggZEV2ka59I4fHylAX-0a05dUcN5HYuOEai7tqo8fSDhBX0WzeUfgaAiqTEALw_wcB,damaging fertility of unborn child and skin irritation,https://www.tcichemicals.com/IN/en/p/A1256,0
17,"3-Amino-1H-1,2,4-triazole-5-carboxylic acid",Al,AA2024,298,10,0.1,50,44444.4,https://www.sigmaaldrich.com/IN/en/product/aldrich/282073?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fggZEV2ka59I4fHylAX-0a05dUcN5HYuOEai7tqo8fSDhBX0WzeUfgaAiqTEALw_wcB,damaging fertility of unborn child and skin irritation,https://www.tcichemicals.com/IN/en/p/A1256,0
18,"3-Amino-1,2,4-triazole",Al,AA2024,298,4,0.1,70,7958.7,https://www.sigmaaldrich.com/IN/en/product/sigma/a8056?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhhOzpl0qxEPkwhlpGrWnOl1RTA0-egMgA3imSKsca_wz4QQzgE_fkaAjfQEALw_wcB,"toxic to aquatic life ,long lasting effects ,disorders in developement of embryo",https://www.sigmaaldrich.com/IN/en/sds/sigma/a8056,1
19,"3-Amino-1,2,4-triazole-5-carboxylic acid",Al,AA2024,298,4,0.1,60,7510.5,https://www.tcichemicals.com/OP/en/p/A1256,aquatic toxicity,https://static.cymitquimica.com/products/54/pdf/sds-OR4265.pdf,3
20,"3-Amino-5-mercapto-1,2,4-triazole",Al,AA2024,298,4,0.1,100,10000,,eye damage toxic aquatic life long lasting effect,,0
21,"3-Amino-5-mercapto-1,2,4-triazole",Al,AA2024,298,10,0.1,90,10000,,eye damage toxic aquatic life long lasting effect,,0
22,3-Mercaptopropanoic acid,Al,AA2024,298,7,0.1,100,10000,,eye damage toxic aquatic life long lasting effect,,0
23,"4-(5-Mercapto-4H-1,2,4-triazol-3-yl)phenol",Al,AA2024,298,4,0.1,50,10000,,eye damage toxic aquatic life long lasting effect,,0
24,4-Amino-2-mercaptopyrimidine,Al,AA2024,298,4,0.1,70,10000,,eye damage toxic aquatic life long lasting effect,,0
25,4-Amino-2-mercaptopyrimidine,Al,AA2024,298,10,0.1,70,10000,,eye damage toxic aquatic life long lasting effect,,0
26,"4-Amino-5-phenyl-3-mercapto-1,2,4-triazole",Al,AA2024,298,4,0.1,60,10000,,eye damage toxic aquatic life long lasting effect,,0
27,"4-Amino-5-phenyl-3-mercapto-1,2,4-triazole",Al,AA2024,298,10,0.1,60,10000,,eye damage toxic aquatic life long lasting effect,,0
28,4-Mercaptobenzoic acid,Al,AA2024,298,7,0.1,97,689000,https://www.sigmaaldrich.com/IN/en/product/aldrich/706329?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhZH6xaeZtOqQi3SLfFU68g365mAiyxJ1OxaGZif_Xv5R8sZiALQHgaAmeeEALw_wcB,"skin and eye irritation, and may cause respiratory irritation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7747936/,1
29,"4,5-Diamino-2,6-dimercaptopyrimidine",Al,AA2024,298,7,0.1,87,223998,https://www.sigmaaldrich.com/IN/en/product/aldrich/d15405?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fjY3foQde_9WnsXb4vNV8K84KgHr6CoMa_EQg5V660qTu2scG2a9M8aAkrsEALw_wcB,skin and eye irritation and respiratory irritation,https://www.chemicalbook.com/msds/2-4-dimercapto-5-6-diaminopyrimidine.htm,3
30,"4,5-Diaminopyrimidine",Al,AA2024,298,4,0.1,50,1750470,https://www.sigmaaldrich.com/IN/en/product/aldrich/d24501?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhGD-rBUpdVtHLjXVwyfNf61qXY1WuHEokvFgnzU6H-lYef8dAEmMcaAnNjEALw_wcB,"skin,eye irritation ,fatal if inhaled and toxic contact with skin",https://www.fishersci.dk/shop/products/4-5-diaminopyrimidine-97-thermo-scientific/10366354,1
31,"4,6-Diamino-2-mercaptopyrimidine",Al,AA2024,298,10,0.1,60,296.4,https://m.indiamart.com/proddetail/4-6-diamino-2-mercaptopyrimidine-cas-1004-39-3-2852538268333.html,"skin ,eye irritation and digestive and respiratory tract irritation",https://fscimage.fishersci.com/msds/94034.htm,1
32,"5-(3-Methoxyphenyl)-4H-1,2,4-triazole-3-thiol",Al,AA2024,298,4,0.1,60,10000,,eye damage toxic aquatic life long lasting effect,,0
33,"5-(3-Methoxyphenyl)-4H-1,2,4-triazole-3-thiol",Al,AA2024,298,10,0.1,50,10000,,eye damage toxic aquatic life long lasting effect,,0
34,"5-(Furan-2-yl)-4H-1,2,4-triazole-3-thiol",Al,AA2024,298,4,0.1,90,10000,,eye damage toxic aquatic life long lasting effect,,0
35,"5-(Furan-2-yl)-4H-1,2,4-triazole-3-thiol",Al,AA2024,298,10,0.1,60,10000,,eye damage toxic aquatic life long lasting effect,,0
36,"5-(Pyridin-4-yl)-4H-1,2,4-triazole-3-thiol",Al,AA2024,298,4,0.1,50,10000,,eye damage toxic aquatic life long lasting effect,,0
37,"5-Amino-2-mercapto-1,3,4-thiadazole",Al,AA2024,298,4,0.1,60,10800,https://www.tcichemicals.com/IN/en/p/A0425,armful if swallowed and causes skin irritation,https://pubchem.ncbi.nlm.nih.gov/compound/5-Amino-1_3_4-thiadiazole-2-thiol,3
38,"5-Amino-2-mercapto-1,3,4-thiadazole",Al,AA2024,298,10,0.1,50,10800,https://www.tcichemicals.com/IN/en/p/A0425,armful if swallowed and causes skin irritation,https://pubchem.ncbi.nlm.nih.gov/compound/5-Amino-1_3_4-thiadiazole-2-thiol,3
39,5-Ethoxy-2-mercaptobenzimidazole,Al,AA2024,298,4,0.1,70,50,https://www.indiamart.com/proddetail/5-ethoxy-2-mercaptobenzimidazole-intermideate-2851252825612.html,skin and eye irritant that can also cause specific target organ toxicity,https://www.fishersci.fi/store/msds?partNumber=11374755&countryCode=FI&language=en,1
40,5-Ethoxy-2-mercaptobenzimidazole,Al,AA2024,298,10,0.1,50,50,https://www.indiamart.com/proddetail/5-ethoxy-2-mercaptobenzimidazole-intermideate-2851252825612.html,skin and eye irritant that can also cause specific target organ toxicity,https://www.fishersci.fi/store/msds?partNumber=11374755&countryCode=FI&language=en,1
41,"5-Trichloromethyl-1H-1,2,4-triazole",Al,AA2024,298,4,0.1,50,10000,,eye damage toxic aquatic life long lasting effect,,0
42,"5-Trichloromethyl-1H-1,2,4-triazole",Al,AA2024,298,10,0.1,50,10000,,eye damage toxic aquatic life long lasting effect,,0
43,6-Amino-2-mercaptobenzothiazole,Al,AA2024,298,7,0.1,89,178800,https://www.tcichemicals.com/IN/en/p/A0682,skin and eye irritant that can also cause specific target organ toxicity,https://www.echemi.com/sds/6-amino-2-mercaptobenzothiazole-pid_Rock21413.html,1
44,6-Mercaptonicotinic acid,Al,AA2024,298,4,0.1,60,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation and serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
45,6-Mercaptonicotinic acid,Al,AA2024,298,10,0.1,50,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation and serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
46,6-Mercaptonicotinic acid,Al,AA2024,298,7,0.1,94,55587.35,"https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5753165.htm#:~:text=6%2DMercaptonicotinic%20acid%20price%20More%20Price(6)%20;%20Z1904%2C,$87%2C%20Buy%20;%20MT%2D16607%2C%200.5g%2C%20$298%2C%20Buy.",skin irritation and serious eye irritation,https://www.chemicalbook.com/msds/6-mercaptonicotinic-acid.pdf,1
47,8-Hydroxyquinoline,Al,AA2024,298,4,0.1,50,220,https://m.indiamart.com/proddetail/8-hydroxyquinoline-1773301588.html,toxic to aquatic organisms and genotoxcity breaks in DNA,https://pubmed.ncbi.nlm.nih.gov/26067700/,3
48,9H-Purine-8-thiol,Al,AA2024,298,4,0.1,60,546000,"https://www.bldpharm.com/products/521308-65-6.html#:~:text=6%2DAmino%2D9%2Dbutyl%2D9H%2Dpurine%2D8%2Dthiol%20*%20Cold%2Dchain%20transportation.%20CAS%20No.%EF%BC%9A%20521308%2D65%2D6.,Price%2C%20Dis.Discount%2C%20ChinaiThe%20products%20will%20be%20shipped","oral ,skin and eye irritation",https://www.sigmaaldrich.com/US/en/product/aldrich/777250,2
49,Benzotriazole,Al,AA2024,298,4,0.1,50,4884,https://www.sigmaaldrich.com/IN/en/product/sial/b11400?utm_source=google&utm_medium=cpc&utm_campaign=15000382539&utm_content=130311242362&gclid=CjwKCAiA3JCvBhA8EiwA4kujZjsbwn1IlUPIyA7J2j07Bo5n3IAY268ioyQbZWxRVPJtl-de7xttXhoC3tQQAvD_BwE,"eye iritation ,harmful if swallowed and toxic to aquatic life with long lasting effects",https://pubchem.ncbi.nlm.nih.gov/compound/Benzotriazole#section=Safety-and-Hazards,0
50,Benzotriazole,Al,AA2024,298,10,0.1,90,4884,https://www.sigmaaldrich.com/IN/en/product/sial/b11400?utm_source=google&utm_medium=cpc&utm_campaign=15000382539&utm_content=130311242362&gclid=CjwKCAiA3JCvBhA8EiwA4kujZjsbwn1IlUPIyA7J2j07Bo5n3IAY268ioyQbZWxRVPJtl-de7xttXhoC3tQQAvD_BwE,"eye iritation ,harmful if swallowed and toxic to aquatic life with long lasting effects",https://pubchem.ncbi.nlm.nih.gov/compound/Benzotriazole#section=Safety-and-Hazards,0
51,Benzotriazole,Al,AA2024,298,7,0.1,98,4884,https://www.sigmaaldrich.com/IN/en/product/sial/b11400?utm_source=google&utm_medium=cpc&utm_campaign=15000382539&utm_content=130311242362&gclid=CjwKCAiA3JCvBhA8EiwA4kujZjsbwn1IlUPIyA7J2j07Bo5n3IAY268ioyQbZWxRVPJtl-de7xttXhoC3tQQAvD_BwE,"eye iritation ,harmful if swallowed and toxic to aquatic life with long lasting effects",https://pubchem.ncbi.nlm.nih.gov/compound/Benzotriazole#section=Safety-and-Hazards,0
52,Citrate,Al,AA2024,298,10,0.1,50,,,eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Citrate#section=Safety-and-Hazards,0
53,Diethyldithiocarbamic acid,Al,AA2024,298,10,0.1,80,36274.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/318116?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=CjwKCAjwnv-vBhBdEiwABCYQA0553S2mbRvNIwTXT-TC-z9qTT2OVtjuQiRIYVGC_5RwligJN8BeHRoChuYQAvD_BwE,"harmful if swallowed ,skin ,eye and respiratory irritation",https://pubchem.ncbi.nlm.nih.gov/compound/Diethyldithiocarbamic%20acid#section=Safety-and-Hazards,2
54,Diethyldithiocarbamic acid,Al,AA2024,298,7,0.1,97,36274.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/318116?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=CjwKCAjwnv-vBhBdEiwABCYQA0553S2mbRvNIwTXT-TC-z9qTT2OVtjuQiRIYVGC_5RwligJN8BeHRoChuYQAvD_BwE,"harmful if swallowed ,skin ,eye and respiratory irritation",https://pubchem.ncbi.nlm.nih.gov/compound/Diethyldithiocarbamic%20acid#section=Safety-and-Hazards,2
55,Dimethylglyoxime,Al,AA2024,298,4,0.1,50,2741.7,https://www.sigmaaldrich.com/IN/en/product/sial/162574,toxic swallowed and flammable solid,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethylglyoxime#section=Safety-and-Hazards,1
56,Dimethylglyoxime,Al,AA2024,298,10,0.1,50,2741.7,https://www.sigmaaldrich.com/IN/en/product/sial/162574,toxic swallowed and flammable solid,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethylglyoxime#section=Safety-and-Hazards,1
57,Glycine,Al,AA2024,298,4,0.1,50,1894,https://www.sigmaaldrich.com/IN/en/product/mm/3570?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=CjwKCAiA3JCvBhA8EiwA4kujZi8LSGN0t5alJqdXbf60ZeN31MCnYoy6kiikA9lPsn6Db0sC5gj5tBoCD78QAvD_BwE,cardio-depressant effects and may cause renal toxicity,https://www.anzca.edu.au/Safety-advocacy/Safety-alerts/Glycine-toxicity-and-TURP-syndrome,0
58,Glycine,Al,AA2024,298,10,0.1,50,1894,https://www.sigmaaldrich.com/IN/en/product/mm/3570?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=CjwKCAiA3JCvBhA8EiwA4kujZi8LSGN0t5alJqdXbf60ZeN31MCnYoy6kiikA9lPsn6Db0sC5gj5tBoCD78QAvD_BwE,cardio-depressant effects and may cause renal toxicity,https://www.anzca.edu.au/Safety-advocacy/Safety-alerts/Glycine-toxicity-and-TURP-syndrome,0
59,"1,14-Hexadecanedioic acid",Al,AA2024,298,4,0.1,50,264000,https://www.tcichemicals.com/IN/en/p/H0293,"cause skin and eye irritation, and respiratory tract irritation",https://pubchem.ncbi.nlm.nih.gov/compound/Hexadecanedioic-acid,0
60,Hexamethylenetetramine / Urotropine,Al,AA2024,298,4,0.1,50,35,https://www.indiamart.com/proddetail/hexamethylenetetramine-urotropine-2850638936491.html,"moderate acute oral toxicity, and can mildly irritate the eyes and skin",https://www.epa.gov/sites/default/files/2015-04/documents/hexamethyl.pdf,2
61,Picolinic acid,Al,AA2024,298,7,0.1,58,4051.5,https://www.sigmaaldrich.com/IN/en/product/aldrich/p42800,"very hazardous if inhaled and contact with eyes ,skin",https://hmdb.ca/system/metabolites/msds/000/001/826/original/HMDB02243.pdf?1358895317,1
62,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,94.4,"109,734.60",https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
63,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,90.4,"109,734.60",https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
64,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,90,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
65,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,55.6,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
66,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,92.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
67,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,87.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
68,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,86.9,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
69,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,308,7,0.6,52.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
70,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,89.5,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
71,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,84.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
72,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,318,7,0.6,83.3,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
73,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,86.8,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
74,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,81.2,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
75,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,328,7,0.6,80.4,109734.6,https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,"skin ,eye and respiratory irritation","https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",2
76,Sodium sulfite,Al,AA2024,298,7,0.6,63.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
77,Sodium sulfite,Al,AA2024,298,7,0.6,82.6,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
78,Sodium sulfite,Al,AA2024,298,7,0.6,98.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
79,Sodium sulfite,Al,AA2024,298,7,0.6,98.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
80,Sodium sulfite,Al,AA2024,308,7,0.6,61,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
81,Sodium sulfite,Al,AA2024,308,7,0.6,80,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
82,Sodium sulfite,Al,AA2024,308,7,0.6,95.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,"skin burn ,skin irritation and eye irritation ",https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
